user_id,user_name,category,item_name,count
U015,임도현,방어구,가죽장갑,1
U015,임도현,방어구,철제장화,1
U015,임도현,방어구,빙결갑옷,1
U015,임도현,소모품,화염 폭탄,2
U015,임도현,소모품,해독제,7
U015,임도현,소모품,정비 키트,8
U015,임도현,소모품,부활 깃털,6
U016,배수지,무기,철벽검,1
U016,배수지,무기,폭풍창,2
U016,배수지,방어구,은빛갑옷,1
U016,배수지,방어구,수호방패,1
U016,배수지,방어구,기사투구,1
U016,배수지,소모품,마나 물약,3
U016,배수지,소모품,은신 물약,8
U016,배수지,소모품,힘의 두루마리,4
U017,서지호,무기,화염검,2
U017,서지호,무기,암흑단검,1
U017,서지호,무기,용맹도끼,2
U017,서지호,무기,서리창,1
U017,서지호,방어구,용비늘갑옷,1
U017,서지호,방어구,마법로브,1
U017,서지호,소모품,수호의 두루마리,6
U017,서지호,소모품,힘의 두루마리,8
U017,서지호,소모품,정비 키트,8
U017,서지호,소모품,해독제,1
U017,서지호,소모품,은신 물약,7
U018,노윤아,무기,천둥망치,1
U018,노윤아,무기,유성지팡이,1
U018,노윤아,무기,달빛활,2
U018,노윤아,방어구,은빛갑옷,1
U018,노윤아,방어구,수호방패,1
U018,노윤아,소모품,고급 회복 물약,3
U018,노윤아,소모품,부활 깃털,7
U018,노윤아,소모품,은신 물약,5
U019,송지훈,무기,서리창,2
U019,송지훈,무기,천둥망치,1
U019,송지훈,무기,철벽검,1
U019,송지훈,방어구,태양망토,1
U019,송지훈,방어구,정찰망토,1
U019,송지훈,방어구,은빛갑옷,1
U019,송지훈,소모품,회복 물약,5
U019,송지훈,소모품,마나 물약,2
U019,송지훈,소모품,수호의 두루마리,4
U019,송지훈,소모품,고급 회복 물약,2
U020,백지민,무기,화염검,1
U020,백지민,무기,용맹도끼,2
U020,백지민,무기,은빛검,1
U020,백지민,방어구,철제장화,1
U020,백지민,방어구,마법로브,1
U020,백지민,방어구,기사투구,1
U020,백지민,소모품,마나 물약,3
U020,백지민,소모품,회복 물약,4
U020,백지민,소모품,화염 폭탄,5
U020,백지민,소모품,해독제,5
U020,백지민,소모품,고급 회복 물약,4
U001,김택진,무기,은빛검,1
U001,김택진,무기,서리창,1
U001,김택진,무기,달빛활,1
U001,김택진,방어구,강철갑옷,1
U001,김택진,방어구,수호방패,1
U001,김택진,소모품,회복 물약,5
U001,김택진,소모품,귀환 주문서,2
